name_Jap,name_Eng,type,race,attribute,level,PS,atk,def,id,name_FullWidth_Jap
疾風の暗黒騎士ガイア,Swift Gaia the Fierce Knight,MONSTER EFFECT,WARRIOR,DARK,7,,2300,2100,16589042,疾風の暗黒騎士ガイア
コンタクト,Contact,SPELL,,,,,,,16616620,コンタクト
EMレインゴート,Performapal Rain Goat,MONSTER EFFECT,BEAST,WATER,1,,0,0,16617334,ＥＭレインゴート
ダーク・サンクチュアリ,Dark Sanctuary,SPELL FIELD,,,,,,,16625614,ダーク・サンクチュアリ
屈強の釣り師,Grappler Angler,MONSTER EFFECT TUNER,WARRIOR,WATER,1,,100,100,16632144,屈強の釣り師
異次元の精霊,D.D. Sprite,MONSTER EFFECT TUNER,FAIRY,LIGHT,1,,0,100,16638212,異次元の精霊
輝光竜フォトン・ブラスト・ドラゴン,Starliege Photon Blast Dragon,MONSTER EFFECT XYZ,DRAGON,LIGHT,4,,1800,2500,16643334,輝光竜フォトン・ブラスト・ドラゴン
スピリット・フォース,Spirit Force,TRAP,,,,,,,16674846,スピリット・フォース
カース・サイキック,Psi-Curse,TRAP,,,,,,,16678947,カース・サイキック
オッドアイズ・アブソリュート・ドラゴン,Odd-Eyes Absolute Dragon,MONSTER EFFECT XYZ,DRAGON,WATER,7,,2800,2500,16691074,オッドアイズ・アブソリュート・ドラゴン
リチュア・アバンス,Gishki Avance,MONSTER EFFECT,SPELLCASTER,WATER,4,,1500,800,16693254,リチュア・アバンス
カラクリ粉,Karakuri Gold Dust,SPELL QUICKPLAY,,,,,,,16708652,カラクリ粉
サブテラーの戦士,Subterror Nemesis Warrior,MONSTER EFFECT,WARRIOR,EARTH,4,,1800,1200,16719140,サブテラーの戦士
スター・ブライト・ドラゴン,Bright Star Dragon,MONSTER EFFECT,DRAGON,LIGHT,4,,1900,1000,16719802,スター・ブライト・ドラゴン
スマイル・ポーション,Smile Potion,TRAP,,,,,,,16720314,スマイル・ポーション
SR赤目のダイス,Speedroid Red-Eyed Dice,MONSTER EFFECT TUNER,MACHINE,WIND,1,,100,100,16725505,ＳＲ赤目のダイス
ウォーム・ワーム,Warm Worm,MONSTER EFFECT,INSECT,FIRE,3,,600,1400,16751086,ウォーム・ワーム
アロマセラフィ－アンゼリカ,Aromaseraphy Angelica,MONSTER EFFECT TUNER,PLANT,LIGHT,1,,0,0,16759958,アロマセラフィ－アンゼリカ
墓守の使い魔,Gravekeeper's Servant,SPELL CONTINUOUS,,,,,,,16762927,墓守の使い魔
大王目玉,Big Eye,MONSTER EFFECT FLIP,FIEND,DARK,4,,1200,1000,16768387,大王目玉
野獣戦士ピューマン,Beast-Warrior Puma,MONSTER EFFECT,BEASTWARRIOR,LIGHT,4,,1600,1000,16796157,野獣戦士ピューマン
花札衛－桐に鳳凰－,Flower Cardian Paulownia with Phoenix,MONSTER EFFECT SPSUMMON,WARRIOR,DARK,12,,2000,2000,16802689,花札衛－桐に鳳凰－
エキセントリック・ボーイ,Eccentric Boy,MONSTER EFFECT TUNER,SPELLCASTER,WIND,3,,800,200,16825874,エキセントリック・ボーイ
スペア・ジェネクス,Genex Spare,MONSTER EFFECT TUNER,MACHINE,DARK,3,,800,1200,16828633,スペア・ジェネクス
ファイナル・ギアス,Final Geas,TRAP,,,,,,,16832845,ファイナル・ギアス
雷の天気模様,The Weather Thundery Canvas,TRAP CONTINUOUS,,,,,,,16849715,雷の天気模様
レプティレス・ヴァースキ,Reptilianne Vaskii,MONSTER EFFECT SPSUMMON,REPTILE,DARK,8,,2600,0,16886617,レプティレス・ヴァースキ
荒魂,Aratama,MONSTER EFFECT SPIRIT,FIEND,DARK,4,,800,1800,16889337,荒魂
ジャイアント・ボマー・エアレイド,Flying Fortress SKY FIRE,MONSTER EFFECT SPSUMMON,MACHINE,WIND,8,,3000,2500,16898077,ジャイアント・ボマー・エアレイド
斬首の美女,Beautiful Headhuntress,MONSTER NORMAL,WARRIOR,EARTH,4,,1600,800,16899564,斬首の美女
セイクリッド・レスカ,Constellar Alrescha,MONSTER EFFECT,WARRIOR,LIGHT,6,,2200,1200,16906241,セイクリッド・レスカ
レプティレス・スキュラ,Reptilianne Scylla,MONSTER EFFECT,REPTILE,DARK,4,,1800,1200,16909657,レプティレス・スキュラ
ゼンマイハンター,Wind-Up Hunter,MONSTER EFFECT,BEASTWARRIOR,DARK,3,,1600,500,16923472,ゼンマイハンター
ナチュル・ナーブ,Naturia Vein,MONSTER EFFECT TUNER,PLANT,EARTH,1,,200,300,16940215,ナチュル・ナーブ
幻獣機エアロスバード,Mecha Phantom Beast Aerosguin,MONSTER EFFECT,MACHINE,WIND,3,,1600,400,16943770,幻獣機エアロスバード
幻獣機トークン,Mecha Phantom Beast Token,MONSTER NORMAL TOKEN,MACHINE,WIND,3,,0,0,16943771,幻獣機トークン
人造天使,Synthetic Seraphim,TRAP CONTINUOUS,,,,,,,16946849,人造天使
人造天使トークン,Synthetic Seraphim Token,MONSTER NORMAL TOKEN,FAIRY,LIGHT,1,,300,300,16946850,人造天使トークン
SRメンコート,Speedroid Menko,MONSTER EFFECT,MACHINE,WIND,4,,100,2000,16947147,ＳＲメンコート
賢者ケイローン,Chiron the Mage,MONSTER EFFECT,BEASTWARRIOR,EARTH,4,,1800,1000,16956455,賢者ケイローン
ドラゴンメイド・ティルル,Kitchen Dragonmaid,MONSTER EFFECT,DRAGON,FIRE,3,,500,1700,16960120,ドラゴンメイド・ティルル
幻界突破,Dracocension,SPELL CONTINUOUS,,,,,,,16960351,幻界突破
ダーク・ホライズン,Dark Horizon,TRAP,,,,,,,16964437,ダーク・ホライズン
墓場からの呼び声,Call of the Grave,TRAP,,,,,,,16970158,墓場からの呼び声
死の沈黙の天使 ドマ,Doma The Angel of Silence,MONSTER NORMAL,FAIRY,DARK,5,,1600,1400,16972957,死の沈黙の天使 ドマ
炎妖蝶ウィルプス,Blazewing Butterfly,MONSTER EFFECT GEMINI,INSECT,FIRE,4,,1500,1500,16984449,炎妖蝶ウィルプス
猛進する剣闘獣,Gladiator Beast Charge,TRAP,,,,,,,16990348,猛進する剣闘獣
Emトラピーズ・マジシャン,Performage Trapeze Magician,MONSTER EFFECT XYZ,SPELLCASTER,LIGHT,4,,2500,2000,17016362,Ｅｍトラピーズ・マジシャン
マザー・スパイダー,Mother Spider,MONSTER EFFECT,INSECT,DARK,6,,2300,1200,17021204,マザー・スパイダー
E・HERO カオス・ネオス,Elemental HERO Chaos Neos,MONSTER EFFECT FUSION,WARRIOR,DARK,9,,3000,2500,17032740,Ｅ・ＨＥＲＯ カオス・ネオス
エヴォルダー・ディプロドクス,Evolsaur Diplo,MONSTER EFFECT,DINOSAUR,FIRE,4,,1600,800,17045014,エヴォルダー・ディプロドクス
守護神の宝札,Guarded Treasure,SPELL CONTINUOUS,,,,,,,17052477,守護神の宝札
光の護封壁,Wall of Revealing Light,TRAP CONTINUOUS,,,,,,,17078030,光の護封壁
相生の魔術師,Xiangsheng Magician,MONSTER EFFECT PENDULUM,SPELLCASTER,LIGHT,4,8,500,1500,17086528,相生の魔術師
古代の遠眼鏡,Ancient Telescope,SPELL,,,,,,,17092736,古代の遠眼鏡
ヨルムンガルド,Yormungarde,MONSTER NORMAL,REPTILE,EARTH,3,,1200,900,17115745,ヨルムンガルド
セイクリッド・レオニス,Constellar Leonis,MONSTER EFFECT,BEAST,LIGHT,3,,1000,1800,17129783,セイクリッド・レオニス
D－HERO ドグマガイ,Destiny HERO - Dogma,MONSTER EFFECT SPSUMMON,WARRIOR,DARK,8,,3400,2400,17132130,Ｄ－ＨＥＲＯ ドグマガイ
花札衛－芒－,Flower Cardian Zebra Grass,MONSTER EFFECT,WARRIOR,DARK,8,,100,100,17141718,花札衛－芒－
ライフチェンジャー,Life Equalizer,TRAP,,,,,,,17178486,ライフチェンジャー
竜星の輝跡,Yang Zing Path,SPELL,,,,,,,17183908,竜星の輝跡
インフェルノ・ハンマー,Inferno Hammer,MONSTER EFFECT,FIEND,DARK,6,,2400,0,17185260,インフェルノ・ハンマー
ファントム・バウンサー,Phantom Bounzer,MONSTER EFFECT,WARRIOR,DARK,6,,2400,1200,17189532,ファントム・バウンサー
スネーク・レイン,Snake Rain,SPELL,,,,,,,17189677,スネーク・レイン
溶岩大巨人,Molten Behemoth,MONSTER NORMAL,PYRO,FIRE,5,,1000,2200,17192817,溶岩大巨人
融合徴兵,Fusion Conscription,SPELL,,,,,,,17194258,融合徴兵
ハンマー・シャーク,Hammer Shark,MONSTER EFFECT,FISH,WATER,4,,1700,1500,17201174,ハンマー・シャーク
海神の巫女,Maiden of the Aqua,MONSTER EFFECT,AQUA,WATER,4,,700,2000,17214465,海神の巫女
ロストワールド,Lost World,SPELL FIELD,,,,,,,17228908,ロストワールド
ジュラエッグトークン,Jurraegg Token,MONSTER NORMAL TOKEN,DINOSAUR,EARTH,1,,0,0,17228909,ジュラエッグトークン
瞬間融合,Flash Fusion,SPELL QUICKPLAY,,,,,,,17236839,瞬間融合
屋根裏の物の怪,Wretched Ghost of the Attic,MONSTER NORMAL,FIEND,DARK,2,,550,400,17238333,屋根裏の物の怪
リチュア・ナタリア,Gishki Natalia,MONSTER EFFECT SPIRIT,SPELLCASTER,WATER,4,,1800,900,17241370,リチュア・ナタリア
グランド・スパイダー,Ground Spider,MONSTER EFFECT,INSECT,EARTH,4,,0,1500,17243896,グランド・スパイダー
光の精霊 ディアーナ,Diana the Light Spirit,MONSTER EFFECT SPSUMMON,THUNDER,LIGHT,4,,1700,1000,17257342,光の精霊 ディアーナ
ゾンビ・マスター,Zombie Master,MONSTER EFFECT,ZOMBIE,DARK,4,,1800,0,17259470,ゾンビ・マスター
U.A.コリバルリバウンダー,U.A. Rival Rebounder,MONSTER EFFECT,WARRIOR,EARTH,6,,2200,2300,17264592,Ｕ.Ａ.コリバルリバウンダー
朱光の宣告者,Herald of Orange Light,MONSTER EFFECT TUNER,FAIRY,LIGHT,2,,300,500,17266660,朱光の宣告者
ナチュル・モスキート,Naturia Mosquito,MONSTER EFFECT,INSECT,EARTH,1,,200,300,17285476,ナチュル・モスキート
ヘリオス・トリス・メギストス,Helios Trice Megistus,MONSTER EFFECT,PYRO,LIGHT,8,,-2,-2,17286057,ヘリオス・トリス・メギストス
ゴーレム,Brain Golem,MONSTER EFFECT,FIEND,DARK,6,,2500,1800,17313545,ゴーレム
死神官－スーパイ,"Supay, Duskwalker",MONSTER EFFECT,SPELLCASTER,EARTH,5,,2200,1900,17315396,死神官－スーパイ
一点着地,Pinpoint Landing,SPELL CONTINUOUS,,,,,,,17322533,一点着地
SRバンブー・ホース,Speedroid Horse Stilts,MONSTER EFFECT,MACHINE,WIND,4,,1100,1100,17328157,ＳＲバンブー・ホース
EMモンキーボード,Performapal Monkeyboard,MONSTER EFFECT PENDULUM,BEAST,EARTH,6,1,1000,2400,17330916,ＥＭモンキーボード
ハイ・プリーステス,Lady of Faith,MONSTER NORMAL,SPELLCASTER,LIGHT,3,,1100,800,17358176,ハイ・プリーステス
C・チッキー,Chrysalis Chicky,MONSTER EFFECT,WINGEDBEAST,WIND,2,,600,400,17363041,Ｃ・チッキー
押収,Confiscation,SPELL,,,,,,,17375316,押収
BF－煌星のグラム,Blackwing - Gram the Shining Star,MONSTER EFFECT SYNCHRO,WINGEDBEAST,DARK,5,,2200,1500,17377751,ＢＦ－煌星のグラム
プランキッズ・ドゥードゥル,Prank-Kids Dodo-Doodle-Doo,MONSTER EFFECT LINK,THUNDER,WIND,2,,2000,10,17382973,プランキッズ・ドゥードゥル
閃光の騎士,Flash Knight,MONSTER NORMAL PENDULUM,WARRIOR,LIGHT,4,7,1800,600,17390179,閃光の騎士
墓守の司令官,Gravekeeper's Commandant,MONSTER EFFECT,SPELLCASTER,EARTH,4,,1600,1500,17393207,墓守の司令官
旧神ノーデン,Elder Entity Norden,MONSTER EFFECT FUSION,FAIRY,WATER,4,,2000,2200,17412721,旧神ノーデン
ヴォルカニック・エッジ,Volcanic Slicer,MONSTER EFFECT,PYRO,FIRE,4,,1800,1200,17415895,ヴォルカニック・エッジ
フォトン・サンクチュアリ,Photon Sanctuary,SPELL,,,,,,,17418744,フォトン・サンクチュアリ
フォトントークン,Photon Token,MONSTER NORMAL TOKEN,THUNDER,LIGHT,4,,2000,0,17418745,フォトントークン
タートル・狸,Turtle Raccoon,MONSTER NORMAL,AQUA,WATER,3,,700,900,17441953,タートル・狸
カイザー・シーホース,Kaiser Sea Horse,MONSTER EFFECT,SEASERPENT,LIGHT,4,,1700,1650,17444133,カイザー・シーホース
撲滅の使徒,Nobleman of Extermination,SPELL,,,,,,,17449108,撲滅の使徒
BF－南風のアウステル,Blackwing - Auster the South Wind,MONSTER EFFECT TUNER,WINGEDBEAST,DARK,4,,1300,0,17465972,ＢＦ－南風のアウステル
双星神 a－vida,"Avida, Rebuilder of Worlds",MONSTER EFFECT SPSUMMON,CYBERSE,LIGHT,11,,3500,3500,17469113,双星神 ａ－ｖｉｄａ
英炎星－ホークエイ,Brotherhood of the Fire Fist - Hawk,MONSTER EFFECT,BEASTWARRIOR,FIRE,3,,200,1500,17475251,英炎星－ホークエイ
現世と冥界の逆転,Exchange of the Spirit,TRAP,,,,,,,17484499,現世と冥界の逆転
エーリアン・ブレイン,Alien Brain,TRAP,,,,,,,17490535,エーリアン・ブレイン
ガガガボルト,Gagagabolt,SPELL,,,,,,,17494901,ガガガボルト
インフェルニティ・ジェネラル,Infernity General,MONSTER EFFECT,FIEND,DARK,7,,2700,1500,17502671,インフェルニティ・ジェネラル
一色即発,The Revenge of the Normal,TRAP,,,,,,,17509503,一色即発
ウッド・ジョーカー,Wood Clown,MONSTER NORMAL,WARRIOR,EARTH,3,,800,1200,17511156,ウッド・ジョーカー
ゼロ・フォース,Zero Force,TRAP,,,,,,,17521642,ゼロ・フォース
キューブン,Cuben,MONSTER EFFECT,THUNDER,LIGHT,4,,600,1900,17530001,キューブン
アーマード・スターフィッシュ,Armored Starfish,MONSTER NORMAL,AQUA,WATER,4,,850,1400,17535588,アーマード・スターフィッシュ
ゴキポール,Gokipole,MONSTER EFFECT,INSECT,EARTH,3,,1000,1200,17535764,ゴキポール
紋章変換,Heraldry Change,TRAP,,,,,,,17536995,紋章変換
EMダグ・ダガーマン,Performapal Dag Daggerman,MONSTER EFFECT PENDULUM,WARRIOR,EARTH,5,2,2000,600,17540705,ＥＭダグ・ダガーマン
ジュラック・メテオ,Jurrac Meteor,MONSTER EFFECT SYNCHRO,DINOSAUR,FIRE,10,,2800,2000,17548456,ジュラック・メテオ
ディープ・ダイバー,Deep Diver,MONSTER EFFECT,AQUA,WATER,3,,1000,1100,17559367,ディープ・ダイバー
神禽王アレクトール,"Alector, Sovereign of Birds",MONSTER EFFECT,WINGEDBEAST,WIND,6,,2400,2000,17573739,神禽王アレクトール
サクリファイス・ソード,Sword of Dark Rites,SPELL EQUIP,,,,,,,17589298,サクリファイス・ソード
バイサー・ショック,Byser Shock,MONSTER EFFECT,FIEND,DARK,5,,800,600,17597059,バイサー・ショック
ゴースト姫－パンプリンセス－,Pumprincess the Princess of Ghosts,MONSTER EFFECT,ZOMBIE,DARK,3,,900,1000,17601919,ゴースト姫－パンプリンセス－
喚忌の呪眼,Evil Eye Awakening,SPELL,,,,,,,17616743,喚忌の呪眼
補給部隊,Supply Squad,SPELL CONTINUOUS,,,,,,,17626381,補給部隊
機殻の生贄,Saqlifice,SPELL EQUIP,,,,,,,17639150,機殻の生贄
ツーヘッド・シャーク,Double Shark,MONSTER EFFECT,FISH,WATER,4,,1200,1600,17643265,ツーヘッド・シャーク
ワーム・ルクイエ,Worm Rakuyeh,MONSTER EFFECT,REPTILE,LIGHT,4,,2100,1200,17649753,ワーム・ルクイエ
天使の手鏡,Fairy's Hand Mirror,TRAP,,,,,,,17653779,天使の手鏡
滅びの爆裂疾風弾,Burst Stream of Destruction,SPELL,,,,,,,17655904,滅びの爆裂疾風弾
エメラルド・ドラゴン,Luster Dragon #2,MONSTER NORMAL,DRAGON,WIND,6,,2400,1400,17658803,エメラルド・ドラゴン
古代の機械飛竜,Ancient Gear Wyvern,MONSTER EFFECT,MACHINE,EARTH,4,,1700,1200,17663375,古代の機械飛竜
深すぎた墓穴,The Deep Grave,TRAP,,,,,,,17688543,深すぎた墓穴
マンモ・フォッシル,Fossil Tusker,MONSTER EFFECT,ROCK,EARTH,4,,1800,0,17706537,マンモ・フォッシル
黒薔薇の魔女,Witch of the Black Rose,MONSTER EFFECT TUNER,SPELLCASTER,DARK,4,,1700,1200,17720747,黒薔薇の魔女
インヴィンシブル・ヘイロー,Invincibility Barrier,TRAP CONTINUOUS,,,,,,,17722185,インヴィンシブル・ヘイロー
N・グロー・モス,Neo-Spacian Glow Moss,MONSTER EFFECT,PLANT,LIGHT,3,,300,900,17732278,Ｎ・グロー・モス
森の屍,Wood Remains,MONSTER NORMAL,ZOMBIE,DARK,3,,1000,900,17733394,森の屍
呪眼の王 ザラキエル,"Zerrziel, Ruler of the Evil Eyed",MONSTER EFFECT LINK,FIEND,DARK,3,,2600,133,17739335,呪眼の王 ザラキエル
スーパービークロイド－モビルベース,Super Vehicroid - Mobile Base,MONSTER EFFECT FUSION,MACHINE,EARTH,10,,0,5000,17745969,スーパービークロイド－モビルベース
A・ジェネクス・トライアーム,Genex Ally Triarm,MONSTER EFFECT SYNCHRO,MACHINE,DARK,6,,2400,1600,17760003,Ａ・ジェネクス・トライアーム
超重蒸鬼テツドウ－O,Superheavy Samurai Steam Train King,MONSTER EFFECT SYNCHRO,MACHINE,EARTH,12,,2000,4800,17775525,超重蒸鬼テツドウ－Ｏ
ディメンション・スフィンクス,Dimension Sphinx,TRAP CONTINUOUS,,,,,,,17787975,ディメンション・スフィンクス
雲魔物－アシッド・クラウド,Cloudian - Acid Cloud,MONSTER EFFECT,FAIRY,WATER,4,,500,0,17810268,雲魔物－アシッド・クラウド
援軍,Reinforcements,TRAP,,,,,,,17814387,援軍
ニードル・ガンナー,Needle Soldier,MONSTER EFFECT,MACHINE,EARTH,1,,100,100,17841097,ニードル・ガンナー
マグネット・フォース,Magnet Force,TRAP,,,,,,,17841166,マグネット・フォース
EMチアモール,Performapal Cheermole,MONSTER EFFECT PENDULUM,BEAST,EARTH,2,5,600,1000,17857780,ＥＭチアモール
真紅眼の凶星竜－メテオ・ドラゴン,Meteor Dragon Red-Eyes Impact,MONSTER EFFECT GEMINI,DRAGON,DARK,6,,1800,2000,17871506,真紅眼の凶星竜－メテオ・ドラゴン
破邪の刻印,Seal of Wickedness,TRAP CONTINUOUS,,,,,,,17874674,破邪の刻印
暗黒火炎龍,Darkfire Dragon,MONSTER FUSION,DRAGON,DARK,4,,1500,1250,17881964,暗黒火炎龍
魔法族の結界,Arcane Barrier,SPELL CONTINUOUS,,,,,,,17896384,魔法族の結界
ソニック・ウォリアー,Sonic Warrior,MONSTER EFFECT,WARRIOR,WIND,2,,1000,0,17932494,ソニック・ウォリアー
ジュラック・デイノ,Jurrac Dino,MONSTER EFFECT TUNER,DINOSAUR,FIRE,3,,1700,800,17948378,ジュラック・デイノ
N・アクア・ドルフィン,Neo-Spacian Aqua Dolphin,MONSTER EFFECT,WARRIOR,WATER,3,,600,800,17955766,Ｎ・アクア・ドルフィン
終幕の光,Final Light,SPELL,,,,,,,17956906,終幕の光
海原の女戦士,Amazon of the Seas,MONSTER NORMAL,FISH,WATER,4,,1300,1400,17968114,海原の女戦士
DDプラウド・シュバリエ,D/D Proud Chevalier,MONSTER EFFECT PENDULUM,FIEND,DARK,5,6,2000,700,17979378,ＤＤプラウド・シュバリエ
ロード・オブ・ドラゴン－ドラゴンの支配者－,Lord of D.,MONSTER EFFECT,SPELLCASTER,DARK,4,,1200,1100,17985575,ロード・オブ・ドラゴン－ドラゴンの支配者－
パーリィナイツ,Parry Knights,MONSTER EFFECT,WARRIOR,EARTH,6,,2300,2100,17988746,パーリィナイツ
A BF－雨隠れのサヨ,Assault Blackwing - Sayo the Rain Hider,MONSTER EFFECT SYNCHRO,WINGEDBEAST,DARK,2,,800,100,17994645,Ａ ＢＦ－雨隠れのサヨ
Re：EX,Re: EX,MONSTER EFFECT,DINOSAUR,LIGHT,4,,1900,1200,18000338,Ｒｅ：ＥＸ
ニトロ・ウォリアー,Nitro Warrior,MONSTER EFFECT SYNCHRO,WARRIOR,FIRE,7,,2800,1800,18013090,ニトロ・ウォリアー
カバーカーニバル,Hippo Carnival,SPELL QUICKPLAY,,,,,,,18027138,カバーカーニバル
カバートークン,Hippo Token,MONSTER NORMAL TOKEN,BEAST,EARTH,1,,0,0,18027139,カバートークン
カバートークン,Hippo Token,MONSTER NORMAL TOKEN,BEAST,EARTH,1,,0,0,18027140,カバートークン
カバートークン,Hippo Token,MONSTER NORMAL TOKEN,BEAST,EARTH,1,,0,0,18027141,カバートークン
天空騎士パーシアス,Airknight Parshath,MONSTER EFFECT,FAIRY,LIGHT,5,,1900,1400,18036057,天空騎士パーシアス
ドラグニティ－プリムス・ピルス,Dragunity Primus Pilus,MONSTER EFFECT,WINGEDBEAST,WIND,5,,2200,1600,18060565,ドラグニティ－プリムス・ピルス
ブリキンギョ,Tin Goldfish,MONSTER EFFECT,MACHINE,WATER,4,,800,2000,18063928,ブリキンギョ
V・HERO ファリス,Vision HERO Faris,MONSTER EFFECT,WARRIOR,DARK,5,,1600,1800,18094166,Ｖ・ＨＥＲＯ ファリス
デュアル・ブースター,Gemini Booster,TRAP,,,,,,,18096222,デュアル・ブースター
幻殻竜,Mystery Shell Dragon,MONSTER NORMAL,WYRM,DARK,4,,2000,0,18108166,幻殻竜
サモンブレーカー,Summon Breaker,SPELL FIELD,,,,,,,18114794,サモンブレーカー
ハーピィの羽根帚,Harpie's Feather Duster,SPELL,,,,,,,18144506,ハーピィの羽根帚
ハーピィの羽根帚,Harpie's Feather Duster,SPELL,,,,,,,18144507,ハーピィの羽根帚
ナチュラル・ディザスター,Natural Disaster,TRAP CONTINUOUS,,,,,,,18158397,ナチュラル・ディザスター
ダークゾーン,Mystic Plasma Zone,SPELL FIELD,,,,,,,18161786,ダークゾーン
ガーディアン・デスサイス,Guardian Dreadscythe,MONSTER EFFECT SPSUMMON,FIEND,DARK,8,,2500,2000,18175965,ガーディアン・デスサイス
泥に潜み棲むもの,The Thing That Hides in the Mud,MONSTER NORMAL,ROCK,EARTH,4,,1200,1300,18180762,泥に潜み棲むもの
ミクロ光線,Micro Ray,TRAP,,,,,,,18190572,ミクロ光線
天架ける星因士,Satellarknight Skybridge,SPELL QUICKPLAY,,,,,,,18205590,天架ける星因士
ペンデュラムーチョ,Pendulumucho,MONSTER EFFECT PENDULUM,WINGEDBEAST,EARTH,1,0,0,0,18210764,ペンデュラムーチョ
エレメントセイバー・ラパウィラ,Elementsaber Lapauila,MONSTER EFFECT,WARRIOR,LIGHT,4,,400,2100,18214905,エレメントセイバー・ラパウィラ
連撃の帝王,Escalation of the Monarchs,TRAP CONTINUOUS,,,,,,,18235309,連撃の帝王
寂々虫,Silent Strider,MONSTER EFFECT,INSECT,EARTH,2,,300,700,18235577,寂々虫
プランキッズ・ランプ,Prank-Kids Lampsies,MONSTER EFFECT,PYRO,FIRE,3,,1500,500,18236002,プランキッズ・ランプ
爆竜剣士イグニスターP,"Ignister Prominence, the Blasting Dracoslayer",MONSTER EFFECT SYNCHRO,DRAGON,FIRE,8,,2850,0,18239909,爆竜剣士イグニスターＰ
牛魔人,Battle Steer,MONSTER NORMAL,BEASTWARRIOR,EARTH,5,,1800,1300,18246479,牛魔人
仕込み爆弾,Secret Blast,TRAP,,,,,,,18252559,仕込み爆弾
ヘル・ブラスト,Chthonian Blast,TRAP,,,,,,,18271561,ヘル・ブラスト
魔轟神獣ガナシア,The Fabled Ganashia,MONSTER EFFECT,BEAST,LIGHT,3,,1600,1000,18282103,魔轟神獣ガナシア
リバース・オブ・ネオス,Reverse of Neos,SPELL QUICKPLAY,,,,,,,18302224,リバース・オブ・ネオス
アビス・ソルジャー,Abyss Soldier,MONSTER EFFECT,AQUA,WATER,4,,1800,1300,18318842,アビス・ソルジャー
ビッグ・ホエール,Big Whale,MONSTER EFFECT,FISH,WATER,9,,1000,3000,18322364,ビッグ・ホエール
ジャイロイド,Gyroid,MONSTER EFFECT,MACHINE,WIND,3,,1000,1000,18325492,ジャイロイド
星守の騎士 プトレマイオス,Tellarknight Ptolemaeus,MONSTER EFFECT XYZ,WARRIOR,LIGHT,4,,550,2600,18326736,星守の騎士 プトレマイオス
カミソーリトカゲ,Razor Lizard,MONSTER EFFECT,REPTILE,EARTH,3,,1500,300,18372968,カミソーリトカゲ
大天使ゼラート,Archlord Zerato,MONSTER EFFECT SPSUMMON,FAIRY,LIGHT,8,,2800,2300,18378582,大天使ゼラート
Sin Selector,Malefic Selector,SPELL,,,,,,,18378992,Ｓｉｎ Ｓｅｌｅｃｔｏｒ
彼岸の巡礼者 ダンテ,"Dante, Pilgrim of the Burning Abyss",MONSTER EFFECT FUSION,FAIRY,LIGHT,9,,2800,2500,18386170,彼岸の巡礼者 ダンテ
エレキンギョ,Wattbetta,MONSTER EFFECT TUNER,THUNDER,LIGHT,2,,100,0,18407024,エレキンギョ
聖騎士ジャンヌ,Noble Knight Joan,MONSTER EFFECT,WARRIOR,LIGHT,4,,1900,1300,18426196,聖騎士ジャンヌ
ウィングド・ライノ,Winged Rhynos,MONSTER EFFECT,BEASTWARRIOR,WIND,4,,1800,500,18430390,ウィングド・ライノ
イービル・マインド,Evil Mind,SPELL,,,,,,,18438874,イービル・マインド
雷龍放電,Thunder Dragon Discharge,TRAP CONTINUOUS,,,,,,,18444733,雷龍放電
タタカワナイト,Tatakawa Knight,MONSTER EFFECT,WARRIOR,EARTH,4,,1500,0,18444902,タタカワナイト
ガガガシールド,Gagagashield,TRAP,,,,,,,18446701,ガガガシールド
魔神儀－ブックストーン,Impcantation Bookstone,MONSTER EFFECT,SPELLCASTER,DARK,5,,0,0,18474999,魔神儀－ブックストーン
ローゲの焔,Loge's Flame,TRAP CONTINUOUS,,,,,,,18478530,ローゲの焔
氷結界の破術師,Warlock of the Ice Barrier,MONSTER EFFECT,SPELLCASTER,WATER,3,,400,1000,18482591,氷結界の破術師
古代の歯車機械,Ancient Gear Gadget,MONSTER EFFECT,MACHINE,EARTH,4,,500,2000,18486927,古代の歯車機械
カースド・フィグ,Cursed Fig,MONSTER EFFECT,PLANT,WATER,1,,200,200,18489208,カースド・フィグ
真紅眼の亜黒竜,Red-Eyes Alternative Black Dragon,MONSTER EFFECT SPSUMMON,DRAGON,DARK,7,,2400,2000,18491580,真紅眼の亜黒竜
融合回収,Fusion Recovery,SPELL,,,,,,,18511384,融合回収
エヴォルカイザー・ソルデ,Evolzar Solda,MONSTER EFFECT XYZ,DRAGON,FIRE,6,,2600,1000,18511599,エヴォルカイザー・ソルデ
プランキッズ・ロケット,Prank-Kids Rocket Ride,MONSTER EFFECT FUSION,PYRO,FIRE,5,,2000,0,18514525,プランキッズ・ロケット
コア・ブラスト,Core Blast,TRAP CONTINUOUS,,,,,,,18517177,コア・ブラスト
呪眼の死徒 メドゥサ,"Medusa, Watcher of the Evil Eye",MONSTER EFFECT,FIEND,DARK,4,,1400,1600,18551923,呪眼の死徒 メドゥサ
沈黙の剣,Silent Sword Slash,SPELL QUICKPLAY,,,,,,,18563744,沈黙の剣
ボルテスター,Voltester,MONSTER EFFECT,THUNDER,DARK,7,,2500,1000,18585765,ボルテスター
キングゴブリン,Goblin King,MONSTER EFFECT,FIEND,DARK,1,,0,0,18590133,キングゴブリン
最終戦争,Final Destiny,SPELL,,,,,,,18591904,最終戦争
サイバネティック・レボリューション,Cybernetic Revolution,TRAP,,,,,,,18597560,サイバネティック・レボリューション
